Stazione;Data;Dato pluviometrico giornaliero 0-24
Abbadia S.Salvatore ;01/03/2020;68,3
Abbadia S.Salvatore ;02/03/2020;54,3
Abbadia S.Salvatore ;03/03/2020;12
Abbadia S.Salvatore ;04/03/2020;0,2
Abbadia S.Salvatore ;05/03/2020;12
Abbadia S.Salvatore ;06/03/2020;29,6
Abbadia S.Salvatore ;07/03/2020;9,5
Abbadia S.Salvatore ;08/03/2020;0
Abbadia S.Salvatore ;09/03/2020;0
Abbadia S.Salvatore ;10/03/2020;0
Abbadia S.Salvatore ;11/03/2020;0
Abbadia S.Salvatore ;12/03/2020;0
Abbadia S.Salvatore ;13/03/2020;0
Abbadia S.Salvatore ;14/03/2020;0
Abbadia S.Salvatore ;15/03/2020;0
Abbadia S.Salvatore ;16/03/2020;0
Abbadia S.Salvatore ;17/03/2020;0
Abbadia S.Salvatore ;18/03/2020;0
Abbadia S.Salvatore ;19/03/2020;0
Abbadia S.Salvatore ;20/03/2020;0
Abbadia S.Salvatore ;21/03/2020;0
Abbadia S.Salvatore ;22/03/2020;0
Abbadia S.Salvatore ;23/03/2020;0
Abbadia S.Salvatore ;24/03/2020;0
Abbadia S.Salvatore ;25/03/2020;0,8
Abbadia S.Salvatore ;26/03/2020;10,2
Abbadia S.Salvatore ;27/03/2020;0,4
Abbadia S.Salvatore ;28/03/2020;0
Abbadia S.Salvatore ;29/03/2020;0
Abbadia S.Salvatore ;30/03/2020;15,4
Abbadia S.Salvatore ;31/03/2020;2,2
Abbazia Trisulti ;01/03/2020;11,2
Abbazia Trisulti ;02/03/2020;36,8
Abbazia Trisulti ;03/03/2020;5,4
Abbazia Trisulti ;04/03/2020;4
Abbazia Trisulti ;05/03/2020;0
Abbazia Trisulti ;06/03/2020;27,6
Abbazia Trisulti ;07/03/2020;3
Abbazia Trisulti ;08/03/2020;1,4
Abbazia Trisulti ;09/03/2020;0
Abbazia Trisulti ;10/03/2020;0
Abbazia Trisulti ;11/03/2020;0
Abbazia Trisulti ;12/03/2020;0
Abbazia Trisulti ;13/03/2020;0
Abbazia Trisulti ;14/03/2020;0
Abbazia Trisulti ;15/03/2020;0
Abbazia Trisulti ;16/03/2020;0
Abbazia Trisulti ;17/03/2020;0
Abbazia Trisulti ;18/03/2020;0
Abbazia Trisulti ;19/03/2020;0
Abbazia Trisulti ;20/03/2020;0
Abbazia Trisulti ;21/03/2020;0
Abbazia Trisulti ;22/03/2020;0
Abbazia Trisulti ;23/03/2020;0
Abbazia Trisulti ;24/03/2020;0
Abbazia Trisulti ;25/03/2020;0
Abbazia Trisulti ;26/03/2020;13
Abbazia Trisulti ;27/03/2020;1,6
Abbazia Trisulti ;28/03/2020;0,2
Abbazia Trisulti ;29/03/2020;6,2
Abbazia Trisulti ;30/03/2020;5,8
Abbazia Trisulti ;31/03/2020;13,8
Acilia ;01/03/2020;5,6
Acilia ;02/03/2020;7,6
Acilia ;03/03/2020;0,2
Acilia ;04/03/2020;0
Acilia ;05/03/2020;0
Acilia ;06/03/2020;4,2
Acilia ;07/03/2020;0
Acilia ;08/03/2020;0
Acilia ;09/03/2020;11,6
Acilia ;10/03/2020;0
Acilia ;11/03/2020;0
Acilia ;12/03/2020;0,2
Acilia ;13/03/2020;0
Acilia ;14/03/2020;0
Acilia ;15/03/2020;0
Acilia ;16/03/2020;0
Acilia ;17/03/2020;0
Acilia ;18/03/2020;0,2
Acilia ;19/03/2020;0
Acilia ;20/03/2020;0
Acilia ;21/03/2020;0
Acilia ;22/03/2020;0,6
Acilia ;23/03/2020;0
Acilia ;24/03/2020;0
Acilia ;25/03/2020;1,2
Acilia ;26/03/2020;19,6
Acilia ;27/03/2020;1,6
Acilia ;28/03/2020;0
Acilia ;29/03/2020;0,2
Acilia ;30/03/2020;0
Acilia ;31/03/2020;0,2
Acqua Acetosa ;01/03/2020;6
Acqua Acetosa ;02/03/2020;11,8
Acqua Acetosa ;03/03/2020;5,2
Acqua Acetosa ;04/03/2020;0,2
Acqua Acetosa ;05/03/2020;0
Acqua Acetosa ;06/03/2020;8
Acqua Acetosa ;07/03/2020;1,4
Acqua Acetosa ;08/03/2020;0
Acqua Acetosa ;09/03/2020;0
Acqua Acetosa ;10/03/2020;0
Acqua Acetosa ;11/03/2020;0
Acqua Acetosa ;12/03/2020;0
Acqua Acetosa ;13/03/2020;0
Acqua Acetosa ;14/03/2020;0
Acqua Acetosa ;15/03/2020;0
Acqua Acetosa ;16/03/2020;0
Acqua Acetosa ;17/03/2020;0
Acqua Acetosa ;18/03/2020;0
Acqua Acetosa ;19/03/2020;0
Acqua Acetosa ;20/03/2020;0
Acqua Acetosa ;21/03/2020;0
Acqua Acetosa ;22/03/2020;0
Acqua Acetosa ;23/03/2020;0
Acqua Acetosa ;24/03/2020;0
Acqua Acetosa ;25/03/2020;0
Acqua Acetosa ;26/03/2020;10
Acqua Acetosa ;27/03/2020;8,6
Acqua Acetosa ;28/03/2020;0,2
Acqua Acetosa ;29/03/2020;0
Acqua Acetosa ;30/03/2020;0
Acqua Acetosa ;31/03/2020;0
